"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 28","31,450","30,950","31,650","30,600","0.00K","1.62%"
"2024- 02- 27","30,950","32,200","32,400","30,850","0.11K","-3.88%"
"2024- 02- 26","32,200","34,050","34,050","31,800","0.02K","-7.07%"
"2024- 02- 25","34,650","34,650","34,650","34,650","","0.00%"
"2024- 02- 23","34,650","33,850","35,100","33,850","355.92K","2.82%"
"2024- 02- 22","33,700","34,450","34,450","33,500","220.76K","-1.17%"
"2024- 02- 21","34,100","34,450","34,750","33,500","239.83K","-0.29%"
"2024- 02- 20","34,200","35,050","35,600","34,050","241.31K","-3.12%"
"2024- 02- 19","35,300","34,550","35,700","34,550","0.00K","2.47%"
"2024- 02- 16","34,450","34,050","34,600","33,500","256.20K","2.23%"
"2024- 02- 15","33,700","35,100","35,100","33,600","470.55K","-2.74%"
"2024- 02- 14","34,650","35,050","35,550","34,350","0.00K","-1.70%"
"2024- 02- 13","35,250","34,900","36,650","34,750","626.36K","-1.12%"
"2024- 02- 08","35,650","35,300","35,750","34,950","322.43K","1.13%"
"2024- 02- 07","35,250","34,550","35,450","34,200","0.03K","1.59%"
"2024- 02- 06","34,700","35,400","36,250","33,950","596.94K","-2.94%"
"2024- 02- 05","35,750","36,000","36,750","35,150","0.00K","-0.56%"
"2024- 02- 04","35,950","35,950","35,950","35,950","","0.00%"
"2024- 02- 02","35,950","35,450","36,350","34,550","790.69K","1.41%"
"2024- 02- 01","35,450","33,900","36,100","33,600","0.06K","4.57%"
"2024- 01- 31","33,900","32,650","34,000","32,350","0.18K","3.83%"
"2024- 01- 30","32,650","31,800","33,100","31,800","1.00K","3.00%"
"2024- 01- 29","31,700","30,350","31,900","30,250","0.00K","4.28%"
"2024- 01- 26","30,400","30,200","30,600","30,200","202.35K","-0.33%"
"2024- 01- 25","30,500","30,300","30,600","30,050","252.32K","1.16%"
"2024- 01- 24","30,150","29,750","30,200","29,550","330.02K","0.67%"
"2024- 01- 23","29,950","29,450","30,100","29,250","294.75K","2.74%"
"2024- 01- 22","29,150","28,650","29,400","28,650","212.43K","1.92%"
"2024- 01- 19","28,600","29,350","29,400","28,450","481.36K","-2.05%"
"2024- 01- 18","29,200","29,400","29,500","29,100","278.05K","-0.68%"
"2024- 01- 17","29,400","30,200","30,250","29,400","0.01K","-2.33%"
"2024- 01- 16","30,100","30,100","30,350","29,800","197.21K","-0.66%"
"2024- 01- 15","30,300","29,950","30,500","29,850","314.22K","1.51%"
"2024- 01- 12","29,850","29,650","30,050","29,500","173.16K","1.19%"
"2024- 01- 11","29,500","29,750","29,850","29,500","266.97K","-0.34%"
"2024- 01- 10","29,600","29,800","30,100","29,500","251.75K","-1.33%"
"2024- 01- 09","30,000","30,050","30,250","29,800","183.34K","0.67%"
"2024- 01- 08","29,800","30,050","30,050","29,550","248.35K","-0.67%"
"2024- 01- 05","30,000","29,950","30,100","29,750","164.99K","0.17%"
"2024- 01- 04","29,950","30,150","30,500","29,850","0.01K","-0.99%"
"2024- 01- 03","30,250","30,500","30,650","30,250","193.00K","-1.14%"
"2024- 01- 02","30,600","30,700","30,950","30,300","312.55K","-1.29%"
